symbol,legal_name,cik,figi,exchange_mic,security_type,share_class,currency,domicile,sic,source_classification,mapped_sector,primary_liquid_class
AAPL,Apple Inc.,0000320193,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
ABNB,"Airbnb, Inc.",0001559720,,XNAS,COMMON_STOCK,CLASS_A,USD,,,,,true
ADBE,ADOBE INC.,0000796343,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
ADI,ANALOG DEVICES INC,0000006281,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
ADP,AUTOMATIC DATA PROCESSING INC,0000008670,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
ADSK,"Autodesk, Inc.",0000769397,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
AEP,AMERICAN ELECTRIC POWER CO INC,0000004904,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
ALAB,"Astera Labs, Inc.",0001736297,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
ALNY,"ALNYLAM PHARMACEUTICALS, INC.",0001178670,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
AMAT,APPLIED MATERIALS INC /DE,0000006951,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
AMD,ADVANCED MICRO DEVICES INC,0000002488,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
AMGN,AMGEN INC,0000318154,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
AMZN,AMAZON COM INC,0001018724,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
APP,AppLovin Corp,0001751008,,XNAS,COMMON_STOCK,CLASS_A,USD,,,,,true
ARM,ARM HOLDINGS PLC /UK,0001973239,,XNAS,DEPOSITARY_RECEIPT,UNSPECIFIED,USD,,,,,true
ASML,ASML HOLDING NV,0000937966,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,,,true
