symbol,legal_name,cik,figi,exchange_mic,security_type,share_class,currency,domicile,sic,source_classification,mapped_sector,primary_liquid_class
A,"AGILENT TECHNOLOGIES, INC.",0001090872,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
AAPL,Apple Inc.,0000320193,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
ABBV,AbbVie Inc.,0001551152,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
ABNB,"Airbnb, Inc.",0001559720,,XNAS,COMMON_STOCK,CLASS_A,USD,,,Consumer Discretionary,,true
ABT,ABBOTT LABORATORIES,0000001800,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
ACGL,ARCH CAPITAL GROUP LTD.,0000947484,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
ACN,Accenture plc,0001467373,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
ADBE,ADOBE INC.,0000796343,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
ADI,ANALOG DEVICES INC,0000006281,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
ADM,Archer-Daniels-Midland Co,0000007084,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
ADP,AUTOMATIC DATA PROCESSING INC,0000008670,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
ADSK,"Autodesk, Inc.",0000769397,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
AEE,AMEREN CORP,0001002910,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
AEP,AMERICAN ELECTRIC POWER CO INC,0000004904,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
AES,AES CORP,0000874761,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
AFL,AFLAC INC,0000004977,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",0000005272,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
AIZ,"ASSURANT, INC.",0001267238,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
AJG,Arthur J. Gallagher & Co.,0000354190,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
AKAM,AKAMAI TECHNOLOGIES INC,0001086222,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
ALB,ALBEMARLE CORP,0000915913,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
ALGN,ALIGN TECHNOLOGY INC,0001097149,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
ALL,ALLSTATE CORP,0000899051,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
ALLE,Allegion plc,0001579241,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
AMAT,APPLIED MATERIALS INC /DE,0000006951,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
AMCR,Amcor plc,0001748790,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
AMD,ADVANCED MICRO DEVICES INC,0000002488,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
AME,AMETEK INC/,0001037868,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
AMGN,AMGEN INC,0000318154,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
AMP,AMERIPRISE FINANCIAL INC,0000820027,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
AMT,AMERICAN TOWER CORP /MA/,0001053507,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
AMZN,AMAZON COM INC,0001018724,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
ANET,"Arista Networks, Inc.",0001596532,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
AON,Aon plc,0000315293,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
AOS,SMITH A O CORP,0000091142,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
APA,APA Corp,0001841666,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Energy,,true
APD,"Air Products & Chemicals, Inc.",0000002969,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
APH,AMPHENOL CORP /DE/,0000820313,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
APO,"Apollo Global Management, Inc.",0001858681,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
APP,AppLovin Corp,0001751008,,XNAS,COMMON_STOCK,CLASS_A,USD,,,Communication Services,,true
APTV,Aptiv PLC,0001521332,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",0001035443,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
ARES,Ares Management Corp,0001176948,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
ATO,ATMOS ENERGY CORP,0000731802,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
AVGO,Broadcom Inc.,0001730168,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
AVY,Avery Dennison Corp,0000008818,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
AWK,"American Water Works Company, Inc.",0001410636,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
AXON,"AXON ENTERPRISE, INC.",0001069183,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
AXP,AMERICAN EXPRESS CO,0000004962,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
AZO,AUTOZONE INC,0000866787,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
BA,BOEING CO,0000012927,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
BAC,BANK OF AMERICA CORP /DE/,0000070858,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
BALL,BALL Corp,0000009389,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
BAX,BAXTER INTERNATIONAL INC,0000010456,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
BBY,BEST BUY CO INC,0000764478,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
BDX,BECTON DICKINSON & CO,0000010795,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
BEN,FRANKLIN RESOURCES INC,0000038777,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
BF.B,BROWN FORMAN CORP,0000014693,,XNYS,COMMON_STOCK,CLASS_B,USD,,,Consumer Staples,,true
BG,Bunge Global SA,0001996862,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
BIIB,BIOGEN INC.,0000875045,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
BKNG,Booking Holdings Inc.,0001075531,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
BKR,Baker Hughes Co,0001701605,,XNAS,COMMON_STOCK,CLASS_A,USD,,,Energy,,true
BLDR,"Builders FirstSource, Inc.",0001316835,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
BLK,"BlackRock, Inc.",0002012383,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
BMY,BRISTOL MYERS SQUIBB CO,0000014272,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
BNY,BLACKROCK NEW YORK MUNICIPAL INCOME TRUST,0001390777,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0001383312,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
BRK.B,BERKSHIRE HATHAWAY INC,0001067983,,XNYS,COMMON_STOCK,CLASS_B,USD,,,Financials,,true
BRO,"BROWN & BROWN, INC.",0000079282,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
BSX,BOSTON SCIENTIFIC CORP,0000885725,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
BX,Blackstone Inc.,0001393818,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
BXP,"BXP, Inc.",0001037540,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
C,CITIGROUP INC,0000831001,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
CAH,CARDINAL HEALTH INC,0000721371,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
CARR,CARRIER GLOBAL Corp,0001783180,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
CASY,CASEYS GENERAL STORES INC,0000726958,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
CAT,CATERPILLAR INC,0000018230,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
CB,Chubb Ltd,0000896159,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
CBOE,"Cboe Global Markets, Inc.",0001374310,,BATS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
CBRE,"CBRE GROUP, INC.",0001138118,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
CCI,CROWN CASTLE INC.,0001051470,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Real Estate,,true
CCL,CARNIVAL CORP,0000815097,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Discretionary,,true
CDNS,CADENCE DESIGN SYSTEMS INC,0000813672,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
CDW,CDW Corp,0001402057,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Information Technology,,true
CEG,Constellation Energy Corp,0001868275,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Utilities,,true
CF,"CF Industries Holdings, Inc.",0001324404,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Materials,,true
CFG,CITIZENS FINANCIAL GROUP INC/RI,0000759944,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Financials,,true
CHD,CHURCH & DWIGHT CO INC /DE/,0000313927,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Consumer Staples,,true
CHRW,"C. H. ROBINSON WORLDWIDE, INC.",0001043277,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Industrials,,true
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,,XNAS,COMMON_STOCK,UNSPECIFIED,USD,,,Communication Services,,true
CI,Cigna Group,0001739940,,XNYS,COMMON_STOCK,UNSPECIFIED,USD,,,Health Care,,true
